device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,depolarizing,0.1,0.01,eigenshadow,8,0.6822674713213173,0.6722674713213173,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.857719558175786,7422.654787030137,0.06910252153508538,0.011647253621978779,0.06910252153508538,0.15391343412824104,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,12.703806124047546,13.011632992304026,6671.5493431385175,8258.322205783541,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,9,0.6589871550575113,0.6489871550575113,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.445932256334194,22318.187634739843,0.07731754458794828,0.010302211276323301,0.07731754458794828,0.17315261339427118,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,14.272779642939923,14.619084869728464,19794.055973563314,25164.195754761546,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,10,0.6382811107881612,0.6282811107881612,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,16.045035343154368,67614.04522781217,0.0856709008207364,0.009501818311766858,0.0856709008207364,0.19239179266030132,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,15.852643550494067,16.23742713581467,59172.67725313406,77259.62934736909,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,11,0.6199188857925798,0.6099188857925798,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.651900095718883,205945.0743546371,0.09399799126160951,0.008004232555817076,0.09399799126160951,0.21163097192633143,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,17.44026912379255,17.863531067645216,177846.01513520794,238483.6883676708,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,12,0.6036845550029707,0.5936845550029707,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,19.27039013929479,632361.5569558545,0.1023690781504627,0.006368142495107609,0.1023690781504627,0.23087015119236157,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,19.039519988102427,19.501260290487153,538848.4270684005,742103.1938261039,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,13,0.589376174376338,0.579376174376338,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,20.90268080367038,1960351.3301279643,0.11083437727545208,0.005751485846982976,0.11083437727545208,0.2501093304583917,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,20.652571473211985,21.15279013412877,1648327.4876923936,2331440.4244477693,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,14,0.5768053509225712,0.5668053509225712,false,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,22.551811864886893,6148537.524840609,0.11929003637067163,0.004652325520766241,0.11929003637067163,0.2693485097244218,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,22.28246335516247,22.821160374611317,5101405.513257427,7410607.448501692,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,15,0.5657968658166551,0.5557968658166551,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,24.223113258573694,19583200.89647914,0.1277741844332163,0.003937021857783881,0.1277741844332163,0.28858768899045195,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,23.934525569583244,24.511700947564144,16032827.81332777,23919782.699410267,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,16,0.5561883093613053,0.5461883093613052,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,25.91755032303028,63381142.19406759,0.3778117669283737,0.006598887838508378,0.3778117669283737,1.071829416346972,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,24.845720906683308,26.989379739377252,30151384.34820749,133233324.8593754,opt1_dense_eigenshadow,0.51,0.97
S,1%,depolarizing,0.1,0.01,eigenshadow,17,0.5478297018566732,0.5378297018566732,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,27.646536870564013,210105235.39224046,0.43746216373842145,0.00796589777518041,0.43746216373842145,1.265592109111719,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,26.380944761452295,28.91212897967573,87388782.1680638,505147329.48597217,opt1_dense_eigenshadow,0.51,0.97
