device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,5,0.8795534257454656,0.8695534257454656,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.413457139250416,42.619954246732654,0.06519456771036818,0.027617961463781628,0.06519456771036818,0.3155111687919988,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.097945970458417,5.728968308042415,34.24795572515744,53.03850876737942,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,16,0.572111645383576,0.5621116453835759,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.891824530909915,60801.72063998553,0.6275505191805343,0.03557410404323494,0.6275505191805343,0.9835272510672717,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.908297279842643,16.875351781977187,30749.967812078143,120222.86512217985,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,17,0.5570633409629403,0.5470633409629403,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,16.608719069848764,99936.15349132688,0.702134914611867,0.0400229745298863,0.702134914611867,1.0100896667765231,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.598629403072241,17.618808736625287,49619.837945968946,201275.03813126413,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,18,0.5444983544573294,0.5344983544573294,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.00178577629109,131234.3421352759,0.7762979098932411,0.047187567168966375,0.7762979098932411,1.0295507037579066,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.972235072533184,18.031336480048996,64286.80683558931,267900.264508771,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,19,0.5341900479783053,0.5241900479783053,false,true,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.665551897774336,207903.12208509524,0.8485564914918463,0.05196818699071223,0.8485564914918463,1.0441432914763962,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,16.62140860629794,18.70969518925073,100819.04067742263,428725.64430589264,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,20,0.525879831925669,0.515879831925669,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,21,0.519296067908456,0.5092960679084559,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,22,0.5141698053073669,0.5041698053073669,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,23,0.5102468631305962,0.5002468631305962,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,24,0.5072961928781885,0.4972961928781885,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,25,0.5051147947144857,0.4951147947144857,false,true,true,false,true,true,false,0.02,0.52,19,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,,,,,opt1_dense_hg,0.51,0.97
