device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,15,0.8003841296620735,0.7903841296620735,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.027970098677496,133637.93769501493,0.17923122478965672,0.02712218958452259,0.17923122478965672,0.9465335063759965,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,16.0814365923015,17.974503605053492,69341.7483655379,257551.89063349998,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,16,0.7898064362419397,0.7798064362419397,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,18.167549558520896,294426.81762718613,0.2943451488863991,0.03199164943123228,0.2943451488863991,0.40743045496682695,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,17.760119103554068,18.574980013487725,221987.5288749094,390504.59896294796,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,17,0.7795632337982654,0.7695632337982654,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,19.305982105910264,648156.2447118006,0.356253696634616,0.03726725133040958,0.356253696634616,0.49371218886989243,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,18.81226991704037,19.799694294780156,460317.5484084184,912645.0186647295,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,18,0.7696472813970177,0.7596472813970176,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,20.4382958669055,1420823.4496102019,0.41957577590385337,0.04290397782316763,0.41957577590385337,0.5871554006751799,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,19.85114046623032,21.025451267580678,945776.9566913588,2134477.120297425,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,19,0.7600510822094795,0.7500510822094795,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,21.56435636893091,3101116.660672481,0.4808427180005201,0.048837772538705686,0.4808427180005201,0.6848259126881484,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,20.87953045624276,22.249182281619056,1929145.4043801697,4985069.824837977,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,20,0.7507669624848579,0.7407669624848578,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,22.68214628352572,6729865.696472031,0.536646535288754,0.055484662365169975,0.536646535288754,0.7838712549916627,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,21.89827502853406,23.466017538517384,3908747.6836771974,11587110.746924162,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,21,0.741787135350177,0.731787135350177,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,23.792787794901773,14532582.822982244,0.5835201599145349,0.061824981037067156,0.5835201599145349,0.881074593988432,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,22.91171320091334,24.673862388890207,7890652.641943036,26765335.27584514,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,22,0.7331037527048417,0.7231037527048417,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,24.890664810227094,31105466.56420011,0.6219179308799482,0.06694508401451761,0.6219179308799482,0.9797099759220366,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,23.910954834305056,25.87037478614913,15773011.868006079,61342124.02002601,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,23,0.724708947651949,0.714708947651949,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,25.96406117687168,65457772.66956908,0.6586285054666066,0.07235563364657971,0.6586285054666066,1.0902445189957404,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,24.873816657875942,27.05430569586742,30744322.04339251,139366221.73074868,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,24,0.7165948693212614,0.7065948693212614,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,27.039039202326702,137899234.01989916,0.6942272209293303,0.07771930769096826,0.6942272209293303,1.209427317391022,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,25.82961188493568,28.248466519717724,59633177.88076529,318886221.04455376,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,25,0.7087537115133311,0.6987537115133311,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,28.110483735210035,289800277.45064783,0.7290719017762345,0.0827304578894695,0.7290719017762345,1.333658667052742,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,26.776825068157294,29.444142402262777,114981384.61827086,730415632.8373797,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,26,0.7011777362809571,0.6911777362809571,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,29.156018184776922,598185701.3798382,0.763568433587432,0.08756868872518911,0.763568433587432,1.459572909904386,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,27.696445274872538,30.615591094681307,217500771.107968,1645171791.8630414,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,27,0.6938592933299159,0.6838592933299159,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,30.15657158375988,1196830403.23853,0.7982764150125384,0.09383222422637408,0.7982764150125384,1.584279145969985,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,28.572292437789898,31.740850729729864,399132478.2313544,3588790920.907768,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,28,0.6867908359434062,0.6767908359434062,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,31.116496430183453,2328084746.9574695,0.833679991010825,0.10248137471314969,0.833679991010825,1.7049331100066665,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,29.411563320176786,32.82142954019012,714106158.9401859,7589877949.043136,opt1_dense_hg,0.51,0.97
