device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,5,0.9256432127756833,0.9156432127756833,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.768054078569862,54.49507997347214,0.06841038169331655,0.034531152021014415,0.06841038169331655,0.21540936284785708,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.552644715722005,5.983463441417719,46.93670675494704,63.2706030446442,opt1_dense_hg,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,16,0.5436524345209496,0.5236524345209496,false,true,false,true,false,false,true,0.02,0.52,16,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,25.86351846726318,61051291.00274751,0.4697374149228038,0.0046511003187477635,0.4697374149228038,0.4697301856091357,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,25.393788281654043,26.333248652872317,44085114.82664797,84546907.6752672,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,17,0.5370987112873792,0.5170987112873792,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,18,0.5314869952554769,0.5114869952554769,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,19,0.5266882322723809,0.5066882322723809,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,20,0.5225901445302508,0.5025901445302507,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,21,0.5190951675903165,0.49909516759031647,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,22,0.5161186280061896,0.49611862800618955,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,23,0.5135871343916639,0.4935871343916639,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,24,0.5114371579400139,0.49143715794001386,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
T,0.1%,depolarizing,0.1,0.02,eigenshadow,25,0.5096137811311647,0.4896137811311647,false,true,true,false,true,true,false,0.02,0.52,16,random_baseline,false,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,0.0,1.0,,,,,0.1702952979069119,0.011353019860460792,0.008514234373216788,0.011353019860460792,0.1277135155982518,0.1702952979069119,,,,,opt1_dense_eigenshadow,0.51,0.97
